group,drug_name,ndcnum,generic_name
clindamycin,clindamycin,00182602868,Clindamycin Phosphate
clindamycin,clindamycin,00185075401,Clindamycin Hydrochloride
clindamycin,clindamycin,00185075501,Clindamycin Hydrochloride
clindamycin,clindamycin,00186145004,Clindamycin Phosphate
clindamycin,clindamycin,00186145104,Clindamycin Phosphate
clindamycin,clindamycin,00186145204,Clindamycin Phosphate
clindamycin,clindamycin,00186145301,Clindamycin Phosphate
clindamycin,clindamycin,00187305050,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00187519025,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00187519035,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00187519050,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00205280124,Clindamycin Phosphate
clindamycin,clindamycin,00205280147,Clindamycin Phosphate
clindamycin,clindamycin,00205280183,Clindamycin Phosphate
clindamycin,clindamycin,00205280193,Clindamycin Phosphate
clindamycin,clindamycin,00299450040,Clindamycin Phosphate
clindamycin,clindamycin,00299450042,Clindamycin Phosphate
clindamycin,clindamycin,00299450075,Clindamycin Phosphate
clindamycin,clindamycin,00299450077,Clindamycin Phosphate
clindamycin,clindamycin,00304198601,Clindamycin Hydrochloride
clindamycin,clindamycin,00332316909,Clindamycin Hydrochloride
clindamycin,clindamycin,00338341024,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338341050,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338361224,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338361250,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338381424,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338381450,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00338954524,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00338954550,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00338954924,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00338954950,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00338955324,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00338955350,Clindamycin Phosphate/Sodium Chloride
clindamycin,clindamycin,00364233601,Clindamycin Hydrochloride
clindamycin,clindamycin,00364233701,Clindamycin Hydrochloride
clindamycin,clindamycin,00364242048,Clindamycin Hydrochloride
clindamycin,clindamycin,00364242049,Clindamycin Hydrochloride
clindamycin,clindamycin,00364242069,Clindamycin Hydrochloride
clindamycin,clindamycin,00378868835,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00378868854,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00378873035,Clindamycin Palmitate Hydrochloride
clindamycin,clindamycin,00403309128,Clindamycin Hydrochloride
clindamycin,clindamycin,00403466201,Clindamycin Hydrochloride
clindamycin,clindamycin,00403466203,Clindamycin Hydrochloride
clindamycin,clindamycin,00403466206,Clindamycin Hydrochloride
clindamycin,clindamycin,00403466224,Clindamycin Hydrochloride
clindamycin,clindamycin,00403466228,Clindamycin Hydrochloride
clindamycin,clindamycin,00405254053,Clindamycin Phosphate
clindamycin,clindamycin,00405254056,Clindamycin Phosphate
clindamycin,clindamycin,00405423301,Clindamycin Hydrochloride
clindamycin,clindamycin,00409405001,Clindamycin Phosphate
clindamycin,clindamycin,00409405101,Clindamycin Phosphate
clindamycin,clindamycin,00409405201,Clindamycin Phosphate
clindamycin,clindamycin,00409405303,Clindamycin Phosphate
clindamycin,clindamycin,00409405403,Clindamycin Phosphate
clindamycin,clindamycin,00409405503,Clindamycin Phosphate
clindamycin,clindamycin,00409419701,Clindamycin Phosphate
clindamycin,clindamycin,00440730030,Clindamycin Hydrochloride
clindamycin,clindamycin,00462027740,Clindamycin Phosphate
clindamycin,clindamycin,00462039030,Clindamycin Phosphate
clindamycin,clindamycin,00462039060,Clindamycin Phosphate
clindamycin,clindamycin,00462039160,Clindamycin Phosphate
clindamycin,clindamycin,00469282010,Clindamycin Phosphate
clindamycin,clindamycin,00469282070,Clindamycin Phosphate
clindamycin,clindamycin,00469282080,Clindamycin Phosphate
clindamycin,clindamycin,00472098791,Clindamycin Phosphate
clindamycin,clindamycin,00472098792,Clindamycin Phosphate
clindamycin,clindamycin,00472179030,Clindamycin Phosphate/Tretinoin
clindamycin,clindamycin,00472179060,Clindamycin Phosphate/Tretinoin
clindamycin,clindamycin,00527138104,Clindamycin Hydrochloride
clindamycin,clindamycin,00527138201,Clindamycin Hydrochloride
