group,drug_name,ndcnum,generic_name
cephalosporins,cephalexin,00316033310,Cephalexin
cephalosporins,cephalexin,00332314503,Cephalexin
cephalosporins,cephalexin,00332314703,Cephalexin
cephalosporins,cephalexin,00349865101,Cephalexin
cephalosporins,cephalexin,00349865105,Cephalexin
cephalosporins,cephalexin,00349865110,Cephalexin
cephalosporins,cephalexin,00349865201,Cephalexin
cephalosporins,cephalexin,00349865205,Cephalexin
cephalosporins,cephalexin,00349865210,Cephalexin
cephalosporins,cephalexin,00349865301,Cephalexin
cephalosporins,cephalexin,00349865302,Cephalexin
cephalosporins,cephalexin,00349865401,Cephalexin
cephalosporins,cephalexin,00349865402,Cephalexin
cephalosporins,cephalexin,00349880701,Cephalexin
cephalosporins,cephalexin,00349880801,Cephalexin
cephalosporins,cephalexin,00364216101,Cephalexin
cephalosporins,cephalexin,00364216105,Cephalexin
cephalosporins,cephalexin,00364216140,Cephalexin
cephalosporins,cephalexin,00364216201,Cephalexin
cephalosporins,cephalexin,00364216204,Cephalexin
cephalosporins,cephalexin,00364216240,Cephalexin
cephalosporins,cephalexin,00364216361,Cephalexin
cephalosporins,cephalexin,00364216363,Cephalexin
cephalosporins,cephalexin,00364216461,Cephalexin
cephalosporins,cephalexin,00364216463,Cephalexin
cephalosporins,cephalexin,00364229201,Cephalexin
cephalosporins,cephalexin,00364229301,Cephalexin
cephalosporins,cephalexin,00367240910,Cephalexin
cephalosporins,cephalexin,00367240950,Cephalexin
cephalosporins,cephalexin,00367241810,Cephalexin
cephalosporins,cephalexin,00367241850,Cephalexin
cephalosporins,cephalexin,00378602501,Cephalexin
cephalosporins,cephalexin,00378602505,Cephalexin
cephalosporins,cephalexin,00378603002,Cephalexin
cephalosporins,cephalexin,00378603004,Cephalexin
cephalosporins,cephalexin,00378603502,Cephalexin
cephalosporins,cephalexin,00378603504,Cephalexin
cephalosporins,cephalexin,00378605001,Cephalexin
cephalosporins,cephalexin,00378605005,Cephalexin
cephalosporins,cephalexin,00403115130,Cephalexin
cephalosporins,cephalexin,00403115214,Cephalexin
cephalosporins,cephalexin,00403115220,Cephalexin
cephalosporins,cephalexin,00403115228,Cephalexin
cephalosporins,cephalexin,00403115230,Cephalexin
cephalosporins,cephalexin,00403115240,Cephalexin
cephalosporins,cephalexin,00403115401,Cephalexin
cephalosporins,cephalexin,00403115410,Cephalexin
cephalosporins,cephalexin,00403115412,Cephalexin
cephalosporins,cephalexin,00403115414,Cephalexin
cephalosporins,cephalexin,00403115415,Cephalexin
cephalosporins,cephalexin,00403115420,Cephalexin
cephalosporins,cephalexin,00403115421,Cephalexin
cephalosporins,cephalexin,00403115428,Cephalexin
cephalosporins,cephalexin,00403115430,Cephalexin
cephalosporins,cephalexin,00403115440,Cephalexin
cephalosporins,cephalexin,00403115518,Cephalexin
cephalosporins,cephalexin,00403115618,Cephalexin
cephalosporins,cephalexin,00403115818,Cephalexin
cephalosporins,cephalexin,00403116820,Cephalexin
cephalosporins,cephalexin,00403246020,Cephalexin
cephalosporins,cephalexin,00405250060,Cephalexin
cephalosporins,cephalexin,00405250070,Cephalexin
cephalosporins,cephalexin,00405252560,Cephalexin
cephalosporins,cephalexin,00405252570,Cephalexin
cephalosporins,cephalexin,00405415201,Cephalexin
cephalosporins,cephalexin,00405415202,Cephalexin
cephalosporins,cephalexin,00405415301,Cephalexin
cephalosporins,cephalexin,00405415302,Cephalexin
cephalosporins,cephalexin,00440724328,Cephalexin
cephalosporins,cephalexin,00440724421,Cephalexin
