group,ndc_code
FLUTICASONE FUROATE/VILANTEROL ELLIPTA,66993013597
FLUTICASONE FUROATE/VILANTEROL ELLIPTA,66993013697
FLOVENT,00173049100
FLOVENT,00173049400
FLOVENT,00173049500
FLOVENT,00173049700
FLOVENT,00173049800
FLOVENT,00173049900
FLOVENT ROTADISK,00173050400
FLOVENT ROTADISK,00173050900
FLOVENT ROTADISK,00173051100
FLOVENT DISKUS,00173060002
FLOVENT DISKUS,00173060100
FLOVENT DISKUS,00173060102
FLOVENT DISKUS,00173060200
FLOVENT DISKUS,00173060202
FLOVENT HFA,00173071800
FLOVENT HFA,00173071820
FLOVENT HFA,00173071900
FLOVENT HFA,00173071920
FLOVENT HFA,00173072000
FLOVENT HFA,00173072020
FLOVENT HFA,12280041013
FLOVENT HFA,35356015701
FLOVENT DISKUS,35356049401
FLOVENT HFA,49999061412
FLOVENT,50090091000
FLOVENT,50090091600
FLOVENT,50090093400
FLOVENT DISKUS,50090124500
FLOVENT,54569460200
FLOVENT,54569460300
FLOVENT,54569486300
FLOVENT ROTADISK,54569489600
FLOVENT HFA,54569566300
FLOVENT HFA,54569567100
FLOVENT HFA,54569570200
FLOVENT DISKUS,54569626500
FLOVENT DISKUS,54569626600
FLOVENT,54868418200
FLOVENT,54868426400
FLOVENT,54868439200
FLOVENT HFA,54868536200
FLOVENT HFA,54868563700
FLOVENT HFA,54868599500
FLOVENT,55045281900
FLOVENT,55045291901
FLOVENT,55045305401
FLOVENT HFA,55045335100
FLOVENT HFA,55045335400
FLOVENT HFA,55045341600
ARMONAIR DIGIHALER WITH EMODULE,59310011406
ARMONAIR DIGIHALER WITH EMODULE,59310020006
ARMONAIR DIGIHALER WITH EMODULE,59310031106
ARMONAIR RESPICLICK,59310070506
ARMONAIR RESPICLICK,59310071106
ARMONAIR RESPICLICK,59310072206
FLOVENT DISKUS,63187095760
FLUTICASONE PROPIONATE HFA,66993007896
FLUTICASONE PROPIONATE HFA,66993007996
FLUTICASONE PROPIONATE HFA,66993008096
FLOVENT,68115063713
FLOVENT DISKUS,68258891306
FLOVENT DISKUS,76519117700
FLUTICASONE PROPIONATE/SALMETEROL,00054032656
FLUTICASONE PROPIONATE/SALMETEROL,00054032756
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,00093360782
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,00093360882
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,00093360982
FLUTICASONE PROPIONATE/SALMETEROL,00093751631
FLUTICASONE PROPIONATE/SALMETEROL,00093751731
FLUTICASONE PROPIONATE/SALMETEROL,00093751831
ADVAIR DISKUS 100/50,00173069500
ADVAIR DISKUS 100/50,00173069502
ADVAIR DISKUS 100/50,00173069504
ADVAIR DISKUS 250/50,00173069600
ADVAIR DISKUS 250/50,00173069602
ADVAIR DISKUS 250/50,00173069604
ADVAIR DISKUS 500/50,00173069700
ADVAIR DISKUS 500/50,00173069702
ADVAIR DISKUS 500/50,00173069704
ADVAIR HFA,00173071500
ADVAIR HFA 45/21,00173071520
ADVAIR HFA 45/21,00173071522
ADVAIR HFA,00173071600
ADVAIR HFA 115/21,00173071620
ADVAIR HFA 115/21,00173071622
ADVAIR HFA,00173071700
ADVAIR HFA 230/21,00173071720
ADVAIR HFA 230/21,00173071722
WIXELA INHUB,00378932032
WIXELA INHUB,00378932132
WIXELA INHUB,00378932232
ADVAIR DISKUS 250/50,21695019601
ADVAIR DISKUS 500/50,21695019701
ADVAIR DISKUS 100/50,21695036160
ADVAIR HFA,23490754001
ADVAIR DISKUS,23490754101
ADVAIR DISKUS,23490754201
ADVAIR DISKUS 100/50,33261087301
ADVAIR DISKUS 250/50,33261087401
ADVAIR DISKUS 250/50,49999081960
ADVAIR DISKUS 100/50,49999098460
ADVAIR DISKUS 500/50,49999098560
ADVAIR DISKUS 100/50,50090073000
ADVAIR DISKUS 250/50,50090073100
ADVAIR DISKUS 500/50,50090073200
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,50090327100
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,50090327200
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,50090338700
FLUTICASONE PROPIONATE/SALMETEROL,50090421100
FLUTICASONE PROPIONATE/SALMETEROL XINAFOATE,50090421300
FLUTICASONE PROPIONATE/SALMETEROL DISKUS,50090421400
ADVAIR DISKUS 100/50,50090431000
ADVAIR DISKUS,50090450200
ADVAIR HFA 115/21,50090450400
ADVAIR DISKUS 500/50,50090450500
ADVAIR HFA 115/21,50090450700
ADVAIR DISKUS 100/50,54569524100
ADVAIR DISKUS 250/50,54569524200
ADVAIR DISKUS 500/50,54569524300
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,54569676200
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,54569676300
FLUTICASONE PROPIONATE-SALMETEROL XINAFOATE,54569678200
ADVAIR DISKUS 500/50,54868451600
ADVAIR DISKUS 250/50,54868451700
ADVAIR DISKUS 100/50,54868451800
ADVAIR DISKUS 100/50,55045338801
ADVAIR DISKUS,55045368601
ADVAIR DISKUS 250/50,58016460101
ADVAIR DISKUS 250/50,58016460401
ADVAIR DISKUS,58016481201
ADVAIR DISKUS 500/50,58016481301
AIRDUO DIGIHALER WITH EMODULE,59310011106
AIRDUO DIGIHALER WITH EMODULE,59310012906
AIRDUO DIGIHALER WITH EMODULE,59310013606
AIRDUO RESPICLICK,59310080506
AIRDUO RESPICLICK,59310081206
AIRDUO RESPICLICK,59310082206
FLUTICASONE PROPIONATE/SALMETEROL DISKUS,66993058497
FLUTICASONE PROPIONATE/SALMETEROL DISKUS,66993058597
FLUTICASONE PROPIONATE/SALMETEROL DISKUS,66993058697
ADVAIR DISKUS 500/50,68115065701
ADVAIR DISKUS 100/50,68115076001
ADVAIR DISKUS 250/50,68115092460
ADVAIR DISKUS 250/50,68258303101
ADVAIR DISKUS 500/50,68258893806
FLUTICASONE PROPIONATE/SALMETEROL XINAFOATE,71205026260
FORADIL AEROLIZER,00083016702
FORADIL AEROLIZER,00083016711
FORADIL AEROLIZER,00083016774
FORADIL AEROLIZER,00085140101
FORADIL AEROLIZER,00085140201
FORMOTEROL FUMARATE,00093406106
FORMOTEROL FUMARATE,00093406119
FORMOTEROL FUMARATE,00093406130
FORMOTEROL FUMARATE,00378163132
FORMOTEROL FUMARATE,00378163191
FORMOTEROL FUMARATE,00378163193
PERFOROMIST,49502060530
PERFOROMIST,49502060561
PERFOROMIST,49502060595
FORADIL AEROLIZER,54569525400
FORADIL AEROLIZER,54868497200
FORADIL AEROLIZER,54868497201
FORMOTEROL FUMARATE,62332065501
FORMOTEROL FUMARATE,62332065530
FORMOTEROL FUMARATE,62332065560
FORADIL AEROLIZER,68115065160
BEVESPI AEROSPHERE,00310460012
BEVESPI AEROSPHERE,00310460039
DULERA,00085222301
DULERA,00085461001
DULERA,00085461005
DULERA,00085720601
DULERA,00085720607
DULERA,50090191600
DULERA,54569661100
DULERA,54569661200
DULERA,78206012501
DULERA,78206012601
DULERA,78206012602
DULERA,78206012701
DULERA,78206012702
IPRATROPIUM BROMIDE,00054840211
IPRATROPIUM BROMIDE,00054840213
IPRATROPIUM BROMIDE,00054840221
IPRATROPIUM BROMIDE NOVAPLUS,00054840411
IPRATROPIUM BROMIDE NOVAPLUS,00054840413
IPRATROPIUM BROMIDE NOVAPLUS,00054840421
IPRATROPIUM BROMIDE,00172640744
IPRATROPIUM BROMIDE,00172640749
IPRATROPIUM BROMIDE,00378698962
IPRATROPIUM BROMIDE,00378698964
IPRATROPIUM BROMIDE,00378698966
IPRATROPIUM BROMIDE,00378698993
IPRATROPIUM BROMIDE,00378797052
IPRATROPIUM BROMIDE,00378797055
IPRATROPIUM BROMIDE,00378797091
IPRATROPIUM BROMIDE,00378797093
IPRATROPIUM BROMIDE,00403022918
ATROVENT,00403064518
IPRATROPIUM BROMIDE,00472075123
IPRATROPIUM BROMIDE,00472075130
IPRATROPIUM BROMIDE,00472075160
IPRATROPIUM BROMIDE,00472075323
IPRATROPIUM BROMIDE,00472075330
IPRATROPIUM BROMIDE,00472075360
IPRATROPIUM BROMIDE,00487980101
IPRATROPIUM BROMIDE,00487980102
IPRATROPIUM BROMIDE,00487980125
IPRATROPIUM BROMIDE,00487980130
IPRATROPIUM BROMIDE,00487980160
IPRATROPIUM BROMIDE,00591379830
IPRATROPIUM BROMIDE,00591379860
IPRATROPIUM BROMIDE,00591379883
ATROVENT,00597008062
ATROVENT,00597008214
ATROVENT,00597008218
ATROVENT HFA,00597008717
IPRATROPIUM BROMIDE,00781715729
IPRATROPIUM BROMIDE,00781715764
IPRATROPIUM BROMIDE,00781715786
IPRATROPIUM BROMIDE,12280009430
ATROVENT HFA,12280037213
IPRATROPIUM BROMIDE,16252009822
IPRATROPIUM BROMIDE,16252009833
IPRATROPIUM BROMIDE,16252009866
IPRATROPIUM BROMIDE,21695091125
IPRATROPIUM BROMIDE,21695091130
IPRATROPIUM BROMIDE,23490576101
IPRATROPIUM BROMIDE,33261081201
IPRATROPIUM BROMIDE,35356012430
IPRATROPIUM BROMIDE,42254004125
IPRATROPIUM BROMIDE,47335070648
IPRATROPIUM BROMIDE,47335070649
IPRATROPIUM BROMIDE,47335070652
IPRATROPIUM BROMIDE,47335070654
IPRATROPIUM BROMIDE,49502068503
IPRATROPIUM BROMIDE,49502068524
IPRATROPIUM BROMIDE,49502068526
IPRATROPIUM BROMIDE,49502068529
IPRATROPIUM BROMIDE,49502068530
IPRATROPIUM BROMIDE,49502068531
IPRATROPIUM BROMIDE,49502068533
IPRATROPIUM BROMIDE,49502068560
IPRATROPIUM BROMIDE,49502068561
IPRATROPIUM BROMIDE,49502068562
IPRATROPIUM BROMIDE,50090066800
ATROVENT HFA,50090096100
IPRATROPIUM BROMIDE,50090256600
IPRATROPIUM BROMIDE,53217000801
ATROVENT,54569100600
IPRATROPIUM BROMIDE,54569491000
ATROVENT HFA,54569575700
ATROVENT,54868143901
IPRATROPIUM BROMIDE,54868408200
IPRATROPIUM BROMIDE,54868408201
ATROVENT HFA,54868551100
IPRATROPIUM BROMIDE,55045273400
IPRATROPIUM BROMIDE,55154435105
ATROVENT,55175138201
IPRATROPIUM,58016484901
ATROVENT,58016608901
ATROVENT,60346013747
IPRATROPIUM BROMIDE,60505080601
IPRATROPIUM BROMIDE,60687039479
IPRATROPIUM BROMIDE,60687039483
IPRATROPIUM BROMIDE,60760054260
IPRATROPIUM BROMIDE,65271000112
IPRATROPIUM BROMIDE,65271000125
IPRATROPIUM BROMIDE,65271000130
IPRATROPIUM BROMIDE,65271000160
IPRATROPIUM BROMIDE,65862090525
IPRATROPIUM BROMIDE,65862090530
IPRATROPIUM BROMIDE,65862090560
IPRATROPIUM BROMIDE,66794000225
IPRATROPIUM BROMIDE,66794000230
IPRATROPIUM BROMIDE,66794000260
ATROVENT,68115077114
ATROVENT HFA,68258895001
IPRATROPIUM BROMIDE,76204010001
IPRATROPIUM BROMIDE,76204010025
IPRATROPIUM BROMIDE,76204010030
IPRATROPIUM BROMIDE,76204010060
ASMANEX TWISTHALER,00085134101
ASMANEX TWISTHALER,00085134102
ASMANEX TWISTHALER,00085134103
ASMANEX TWISTHALER,00085134104
ASMANEX TWISTHALER,00085134106
ASMANEX TWISTHALER,00085134107
ASMANEX TWISTHALER,00085146102
ASMANEX TWISTHALER,00085146107
ASMANEX HFA,00085222201
ASMANEX HFA,00085433301
ASMANEX HFA,00085433401
ASMANEX TWISTHALER,35356009914
ASMANEX TWIST,54868554700
ASMANEX TWIST,54868554701
ASMANEX TWISTHALER,54868554702
ASMANEX HFA,78206011101
ASMANEX HFA,78206011201
ASMANEX HFA,78206011301
ASMANEX TWISTHALER,78206011401
ASMANEX TWISTHALER,78206011402
ASMANEX TWISTHALER,78206011403
ASMANEX TWISTHALER,78206011404
ASMANEX TWISTHALER,78206011501
STRIVERDI RESPIMAT,00597019231
STRIVERDI RESPIMAT,00597019261
STIOLTO RESPIMAT INSTITUTIONAL PACK 28ACT,00597015531
STIOLTO RESPIMAT,00597015561
STIOLTO RESPIMAT INSTITUTIONAL PACK 10ACT,00597015570
MAXAIR AUTOHALER,00089079021
MAXAIR AUTOHALER,00089081521
MAXAIR,00089081710
MAXAIR AUTOHALER,29336081521
MAXAIR,54569225300
MAXAIR,54569461500
MAXAIR,54868282101
MAXAIR,55175520501
MAXAIR AUTOHALER,99207028040
SEREVENT,00173046400
SEREVENT,00173046500
SEREVENT,00173046700
SEREVENT DISKUS,00173052000
SEREVENT DISKUS,00173052100
SEREVENT DISKUS,12280017360
SEREVENT DISKUS,49999030028
SEREVENT,54569385500
SEREVENT DISKUS,54569486700
SEREVENT,54868370200
SEREVENT DISKUS,54868448100
SEREVENT DISKUS,68258896106
SPIRIVA,00597007506
SPIRIVA,00597007537
SPIRIVA HANDIHALER,00597007541
SPIRIVA HANDIHALER,00597007547
SPIRIVA HANDIHALER,00597007575
SPIRIVA RESPIMAT INSTITUTIONAL PACK 28ACT,00597010031
SPIRIVA RESPIMAT INSTITUTIONAL PACK 10ACT,00597010051
SPIRIVA RESPIMAT,00597010061
SPIRIVA RESPIMAT,00597016061
SPIRIVA,35356021530
SPIRIVA HANDIHALER,50090424800
SPIRIVA HANDIHALER,50090441400
SPIRIVA,54868510900
SPIRIVA,54868510901
SPIRIVA,68258893603
INCRUSE ELLIPTA,00173087306
INCRUSE ELLIPTA,00173087310
ANORO ELLIPTA,00173086906
ANORO ELLIPTA,00173086910
ALBUTEROL,00047299711
PROVENTIL,00085061402
PROVENTIL,00085061403
PROVENTIL,00085061510
ALBUTEROL,00172439018
ALBUTEROL,00172439019
VENTOLIN,00173032188
VENTOLIN,00173032198
VENTOLIN,00173046300
ALBUTEROL,00364263217
ALBUTEROL,00364263298
PROVENTIL,00403177118
ALBUTEROL,00403177218
VENTOLIN,00403331918
ALBUTEROL,00472126463
ALBUTEROL,00472126478
ALBUTEROL,00536041612
ALBUTEROL,00536041613
ALBUTEROL,00536121612
ALBUTEROL,00536121613
ALBUTEROL,00603100475
ALBUTEROL,00603100499
ALBUTEROL,00677154970
ALBUTEROL,00677154971
ALBUTEROL,00781750287
ALBUTEROL,00781750288
ALBUTEROL,00839760807
ALBUTEROL,00839760880
ALBUTEROL,00904507834
ALBUTEROL,00904507868
ALBUTEROL,00904507934
ALBUTEROL,00904507968
ALBUTEROL,16590000417
ALBUTEROL,17201072101
ALBUTEROL,17270072101
ALBUTEROL INHALER,21695019801
ALBUTEROL,23490501901
ALBUTEROL,23490702201
ALBUTEROL,49502030317
ALBUTEROL,49502030327
ALBUTEROL,49502033317
ALBUTEROL,49502033327
ALBUTEROL,50111080131
ALBUTEROL,50111080132
ALBUTEROL,52555059417
ALBUTEROL,52555059418
ALBUTEROL,52959009403
PROVENTIL,52959029300
VENTOLIN,52959058801
PROVENTIL,52959112100
VENTOLIN,52959129301
ALBUTEROL,52959142103
PROVENTIL,54569005200
VENTOLIN,54569100300
PROVENTIL,54569100800
VENTOLIN,54569101100
ALBUTEROL,54569424500
VENTOLIN,54868073001
PROVENTIL,54868104101
VENTOLIN,54868190300
ALBUTEROL,54868370900
ALBUTEROL,54868373900
ALBUTEROL,55045239005
PROVENTIL,55175256801
VENTOLIN,55175257201
ALBUTEROL,55175257501
